name,description,retired,uuid
Unknown,"A patient may or may not know the location where something occurred. The system should not use this value.",0,ba16cbe4-8d80-11d8-abbb-0024217bb78e
Other,"Legacy data may contain locations listed as "other"",0,ba16d274-8d80-11d8-abbb-0024217bb78e
"Assalaam Clinic","Health Centre , Private Health Facility",0,ba16d40e-8d80-11d8-abbb-0024217bb78e
"Admarc Dispensary","Dispensary , Public Health Facility",0,ba16d594-8d80-11d8-abbb-0024217bb78e
"Adventist Health Centre (Lilongwe)","Health Centre , Private Health Facility",0,ba16d71a-8d80-11d8-abbb-0024217bb78e
"African Bible College Health Centre","Health Centre , Private Health Facility",0,ba16d896-8d80-11d8-abbb-0024217bb78e
"Alinafe Rehabilitation Centre","Rehabilitation Centre , Private Health Facility",0,ba16da12-8d80-11d8-abbb-0024217bb78e
"Area 18 Urban Health Centre","Health Centre , Public Health Facility",0,ba16de72-8d80-11d8-abbb-0024217bb78e
"Area 25 Banja La Mtsogolo Dispensary","Dispensary , Private Health Organisation (NGO/CBO)",0,ba16dff8-8d80-11d8-abbb-0024217bb78e
"Area 25 Urban Health Centre","Health Centre , Public Health Facility",0,ba16e174-8d80-11d8-abbb-0024217bb78e
"Balaka District Health Office","District Health Office , Public Health Facility",0,ba16e2f0-8d80-11d8-abbb-0024217bb78e
"Balaka District Hospital","District Hospital , Public Health Facility",0,ba16e46c-8d80-11d8-abbb-0024217bb78e
"Balaka Health Area","Health Area , Public Administrative Unit",0,ba16e5de-8d80-11d8-abbb-0024217bb78e
"Balaka Health District","Health District , Public Administrative Unit",0,ba16e750-8d80-11d8-abbb-0024217bb78e
"Balaka OPD Health Centre","Health Centre , Public Health Facility",0,ba16e840-8d80-11d8-abbb-0024217bb78e
"Bangwe Health Centre","Health Centre , Public Health Facility",0,ba16e926-8d80-11d8-abbb-0024217bb78e
"Bembeke Health Centre","Health Centre , Private Health Facility",0,ba16ea02-8d80-11d8-abbb-0024217bb78e
"Benga Health Centre","Health Centre , Public Health Facility",0,ba16eae8-8d80-11d8-abbb-0024217bb78e
"Bilal Dispensary","Dispensary , Public Health Facility",0,ba16ebce-8d80-11d8-abbb-0024217bb78e
"Bilira Health Centre","Health Centre , Public Health Facility",0,ba16ecaa-8d80-11d8-abbb-0024217bb78e
"Bimbi Health Centre","Health Centre , Public Health Facility",0,ba16ed90-8d80-11d8-abbb-0024217bb78e
"Biriwiri Health Centre","Health Centre , Public Health Facility",0,ba16ee6c-8d80-11d8-abbb-0024217bb78e
"Blantyre Civic Centre Dispensary","Dispensary , Public Health Facility",0,ba16ef52-8d80-11d8-abbb-0024217bb78e
"Blantyre District Health Office","District Health Office , Public Health Facility",0,ba16f02e-8d80-11d8-abbb-0024217bb78e
"Blantyre Health Area","Health Area , Public Administrative Unit",0,ba16f114-8d80-11d8-abbb-0024217bb78e
"Blantyre Health District","Health District , Public Administrative Unit",0,ba16f1f0-8d80-11d8-abbb-0024217bb78e
"Bolero Rural Health Centre","Health Centre , Public Health Facility",0,ba16f2cc-8d80-11d8-abbb-0024217bb78e
"Bondo Health Centre","Health Centre , Public Health Facility",0,ba16f3b2-8d80-11d8-abbb-0024217bb78e
"Bowe Health Centre","Health Centre , Public Health Facility",0,ba16f48e-8d80-11d8-abbb-0024217bb78e
"Bua Dispensary (Kasungu)","Dispensary , Public Health Facility",0,ba16f574-8d80-11d8-abbb-0024217bb78e
"Bua Health Centre (Nkhotakota)","Dispensary , Public Health Facility",0,ba16f65a-8d80-11d8-abbb-0024217bb78e
"Bula Health Centre","Health Centre , Public Health Facility",0,ba16f736-8d80-11d8-abbb-0024217bb78e
"Bulala Health Centre","Health Centre , Public Health Facility",0,ba17a848-8d80-11d8-abbb-0024217bb78e
"Bvumbwe Research Health Centre","Health Centre , Public Health Facility",0,ba17a974-8d80-11d8-abbb-0024217bb78e
"Bvumbwe-Makungwa Health Centre","Health Centre , Public Health Facility",0,ba17aa5a-8d80-11d8-abbb-0024217bb78e
"Bwanje Health Centre","Health Centre , Public Health Facility",0,ba17ab4a-8d80-11d8-abbb-0024217bb78e
"Bwengu Health Centre","Health Centre , Public Health Facility",0,ba17ac26-8d80-11d8-abbb-0024217bb78e
"Chabvala Health Centre","Health Centre , Public Health Facility",0,ba17ad16-8d80-11d8-abbb-0024217bb78e
"Chadza Health Centre","Health Centre , Public Health Facility",0,ba17adfc-8d80-11d8-abbb-0024217bb78e
"Chakhaza Health Centre","Health Centre , Public Health Facility",0,ba17aed8-8d80-11d8-abbb-0024217bb78e
"Chamba Dispensary (Machinga)","Dispensary , Public Health Facility",0,ba17afbe-8d80-11d8-abbb-0024217bb78e
"Chamba Dispensary (Zomba)","Dispensary , Public Health Facility",0,ba17b09a-8d80-11d8-abbb-0024217bb78e
"Chambe Health Centre","Health Centre , Public Health Facility",0,ba17b176-8d80-11d8-abbb-0024217bb78e
"Chambo Health Centre","Health Centre , Private Health Facility",0,ba17b25c-8d80-11d8-abbb-0024217bb78e
"Chamwabvi Dispensary","Dispensary , Public Health Facility",0,ba17b338-8d80-11d8-abbb-0024217bb78e
"Chang'Ambika Health Centre","Health Centre , Public Health Facility",0,ba17b41e-8d80-11d8-abbb-0024217bb78e
"Changata Health Centre","Health Centre , Public Health Facility",0,ba17b4fa-8d80-11d8-abbb-0024217bb78e
"Chankhungu Health Centre","Health Centre , Public Health Facility",0,ba17b5d6-8d80-11d8-abbb-0024217bb78e
"Chapananga Health Centre","Health Centre , Public Health Facility",0,ba17b6bc-8d80-11d8-abbb-0024217bb78e
"Chesamu Health Centre","Health Centre , Public Health Facility",0,ba17b7a2-8d80-11d8-abbb-0024217bb78e
"Chezi Dispensary","Dispensary , Private Health Facility",0,ba17b87e-8d80-11d8-abbb-0024217bb78e
"Chididi Health Centre (Nkhotakota)","Health Centre , Private Health Facility",0,ba17b964-8d80-11d8-abbb-0024217bb78e
"Chididi Health Centre (Nsanje)","Health Centre , Private Health Facility",0,ba17ba4a-8d80-11d8-abbb-0024217bb78e
"Chiendausiku Health Centre","Health Centre , Public Health Facility",0,ba17bb30-8d80-11d8-abbb-0024217bb78e
"Chifunga Health Centre","Health Centre , Public Health Facility",0,ba17bc0c-8d80-11d8-abbb-0024217bb78e
"Chigodi Health Centre","Health Centre , Private Health Facility",0,ba17bce8-8d80-11d8-abbb-0024217bb78e
"Chikande Health Centre","Health Centre , Public Health Facility",0,ba17bdce-8d80-11d8-abbb-0024217bb78e
"Chikangawa Health Centre","Health Centre , Public Health Facility",0,ba17beaa-8d80-11d8-abbb-0024217bb78e
